,Label,ImagePath
0,437-R,/kaggle/input/casia-iris-thousand/CASIA-Iris-Thousand/437/R/S5437R06.jpg
1,437-R,/kaggle/input/casia-iris-thousand/CASIA-Iris-Thousand/437/R/S5437R09.jpg
2,437-R,/kaggle/input/casia-iris-thousand/CASIA-Iris-Thousand/437/R/S5437R07.jpg
3,437-R,/kaggle/input/casia-iris-thousand/CASIA-Iris-Thousand/437/R/S5437R02.jpg
4,437-R,/kaggle/input/casia-iris-thousand/CASIA-Iris-Thousand/437/R/S5437R03.jpg
5,437-R,/kaggle/input/casia-iris-thousand/CASIA-Iris-Thousand/437/R/S5437R08.jpg
6,437-R,/kaggle/input/casia-iris-thousand/CASIA-Iris-Thousand/437/R/S5437R00.jpg
7,437-R,/kaggle/input/casia-iris-thousand/CASIA-Iris-Thousand/437/R/S5437R04.jpg
8,437-R,/kaggle/input/casia-iris-thousand/CASIA-Iris-Thousand/437/R/S5437R01.jpg
9,437-R,/kaggle/input/casia-iris-thousand/CASIA-Iris-Thousand/437/R/S5437R05.jpg
10,437-L,/kaggle/input/casia-iris-thousand/CASIA-Iris-Thousand/437/L/S5437L00.jpg
11,437-L,/kaggle/input/casia-iris-thousand/CASIA-Iris-Thousand/437/L/S5437L05.jpg
12,437-L,/kaggle/input/casia-iris-thousand/CASIA-Iris-Thousand/437/L/S5437L08.jpg
13,437-L,/kaggle/input/casia-iris-thousand/CASIA-Iris-Thousand/437/L/S5437L04.jpg
14,437-L,/kaggle/input/casia-iris-thousand/CASIA-Iris-Thousand/437/L/S5437L07.jpg
15,437-L,/kaggle/input/casia-iris-thousand/CASIA-Iris-Thousand/437/L/S5437L02.jpg
16,437-L,/kaggle/input/casia-iris-thousand/CASIA-Iris-Thousand/437/L/S5437L03.jpg
17,437-L,/kaggle/input/casia-iris-thousand/CASIA-Iris-Thousand/437/L/S5437L09.jpg
18,437-L,/kaggle/input/casia-iris-thousand/CASIA-Iris-Thousand/437/L/S5437L06.jpg
19,437-L,/kaggle/input/casia-iris-thousand/CASIA-Iris-Thousand/437/L/S5437L01.jpg
20,515-R,/kaggle/input/casia-iris-thousand/CASIA-Iris-Thousand/515/R/S5515R07.jpg
21,515-R,/kaggle/input/casia-iris-thousand/CASIA-Iris-Thousand/515/R/S5515R09.jpg
22,515-R,/kaggle/input/casia-iris-thousand/CASIA-Iris-Thousand/515/R/S5515R08.jpg
23,515-R,/kaggle/input/casia-iris-thousand/CASIA-Iris-Thousand/515/R/S5515R01.jpg
24,515-R,/kaggle/input/casia-iris-thousand/CASIA-Iris-Thousand/515/R/S5515R04.jpg
25,515-R,/kaggle/input/casia-iris-thousand/CASIA-Iris-Thousand/515/R/S5515R00.jpg
26,515-R,/kaggle/input/casia-iris-thousand/CASIA-Iris-Thousand/515/R/S5515R03.jpg
27,515-R,/kaggle/input/casia-iris-thousand/CASIA-Iris-Thousand/515/R/S5515R02.jpg
28,515-R,/kaggle/input/casia-iris-thousand/CASIA-Iris-Thousand/515/R/S5515R05.jpg
29,515-R,/kaggle/input/casia-iris-thousand/CASIA-Iris-Thousand/515/R/S5515R06.jpg
30,515-L,/kaggle/input/casia-iris-thousand/CASIA-Iris-Thousand/515/L/S5515L08.jpg
31,515-L,/kaggle/input/casia-iris-thousand/CASIA-Iris-Thousand/515/L/S5515L04.jpg
32,515-L,/kaggle/input/casia-iris-thousand/CASIA-Iris-Thousand/515/L/S5515L05.jpg
33,515-L,/kaggle/input/casia-iris-thousand/CASIA-Iris-Thousand/515/L/S5515L01.jpg
34,515-L,/kaggle/input/casia-iris-thousand/CASIA-Iris-Thousand/515/L/S5515L02.jpg
35,515-L,/kaggle/input/casia-iris-thousand/CASIA-Iris-Thousand/515/L/S5515L00.jpg
36,515-L,/kaggle/input/casia-iris-thousand/CASIA-Iris-Thousand/515/L/S5515L07.jpg
37,515-L,/kaggle/input/casia-iris-thousand/CASIA-Iris-Thousand/515/L/S5515L09.jpg
38,515-L,/kaggle/input/casia-iris-thousand/CASIA-Iris-Thousand/515/L/S5515L06.jpg
39,515-L,/kaggle/input/casia-iris-thousand/CASIA-Iris-Thousand/515/L/S5515L03.jpg
40,248-R,/kaggle/input/casia-iris-thousand/CASIA-Iris-Thousand/248/R/S5248R04.jpg
41,248-R,/kaggle/input/casia-iris-thousand/CASIA-Iris-Thousand/248/R/S5248R08.jpg
42,248-R,/kaggle/input/casia-iris-thousand/CASIA-Iris-Thousand/248/R/S5248R01.jpg
43,248-R,/kaggle/input/casia-iris-thousand/CASIA-Iris-Thousand/248/R/S5248R00.jpg
44,248-R,/kaggle/input/casia-iris-thousand/CASIA-Iris-Thousand/248/R/S5248R07.jpg
45,248-R,/kaggle/input/casia-iris-thousand/CASIA-Iris-Thousand/248/R/S5248R05.jpg
46,248-R,/kaggle/input/casia-iris-thousand/CASIA-Iris-Thousand/248/R/S5248R02.jpg
47,248-R,/kaggle/input/casia-iris-thousand/CASIA-Iris-Thousand/248/R/S5248R03.jpg
48,248-R,/kaggle/input/casia-iris-thousand/CASIA-Iris-Thousand/248/R/S5248R09.jpg
49,248-R,/kaggle/input/casia-iris-thousand/CASIA-Iris-Thousand/248/R/S5248R06.jpg
50,248-L,/kaggle/input/casia-iris-thousand/CASIA-Iris-Thousand/248/L/S5248L03.jpg
51,248-L,/kaggle/input/casia-iris-thousand/CASIA-Iris-Thousand/248/L/S5248L05.jpg
52,248-L,/kaggle/input/casia-iris-thousand/CASIA-Iris-Thousand/248/L/S5248L02.jpg
53,248-L,/kaggle/input/casia-iris-thousand/CASIA-Iris-Thousand/248/L/S5248L04.jpg
54,248-L,/kaggle/input/casia-iris-thousand/CASIA-Iris-Thousand/248/L/S5248L00.jpg
55,248-L,/kaggle/input/casia-iris-thousand/CASIA-Iris-Thousand/248/L/S5248L07.jpg
56,248-L,/kaggle/input/casia-iris-thousand/CASIA-Iris-Thousand/248/L/S5248L06.jpg
57,248-L,/kaggle/input/casia-iris-thousand/CASIA-Iris-Thousand/248/L/S5248L09.jpg
58,248-L,/kaggle/input/casia-iris-thousand/CASIA-Iris-Thousand/248/L/S5248L01.jpg
59,248-L,/kaggle/input/casia-iris-thousand/CASIA-Iris-Thousand/248/L/S5248L08.jpg
60,625-R,/kaggle/input/casia-iris-thousand/CASIA-Iris-Thousand/625/R/S5625R00.jpg
61,625-R,/kaggle/input/casia-iris-thousand/CASIA-Iris-Thousand/625/R/S5625R02.jpg
62,625-R,/kaggle/input/casia-iris-thousand/CASIA-Iris-Thousand/625/R/S5625R03.jpg
63,625-R,/kaggle/input/casia-iris-thousand/CASIA-Iris-Thousand/625/R/S5625R06.jpg
64,625-R,/kaggle/input/casia-iris-thousand/CASIA-Iris-Thousand/625/R/S5625R08.jpg
65,625-R,/kaggle/input/casia-iris-thousand/CASIA-Iris-Thousand/625/R/S5625R01.jpg
66,625-R,/kaggle/input/casia-iris-thousand/CASIA-Iris-Thousand/625/R/S5625R04.jpg
67,625-R,/kaggle/input/casia-iris-thousand/CASIA-Iris-Thousand/625/R/S5625R09.jpg
68,625-R,/kaggle/input/casia-iris-thousand/CASIA-Iris-Thousand/625/R/S5625R07.jpg
69,625-R,/kaggle/input/casia-iris-thousand/CASIA-Iris-Thousand/625/R/S5625R05.jpg
70,625-L,/kaggle/input/casia-iris-thousand/CASIA-Iris-Thousand/625/L/S5625L06.jpg
71,625-L,/kaggle/input/casia-iris-thousand/CASIA-Iris-Thousand/625/L/S5625L05.jpg
72,625-L,/kaggle/input/casia-iris-thousand/CASIA-Iris-Thousand/625/L/S5625L07.jpg
73,625-L,/kaggle/input/casia-iris-thousand/CASIA-Iris-Thousand/625/L/S5625L04.jpg
74,625-L,/kaggle/input/casia-iris-thousand/CASIA-Iris-Thousand/625/L/S5625L00.jpg
75,625-L,/kaggle/input/casia-iris-thousand/CASIA-Iris-Thousand/625/L/S5625L02.jpg
76,625-L,/kaggle/input/casia-iris-thousand/CASIA-Iris-Thousand/625/L/S5625L01.jpg
77,625-L,/kaggle/input/casia-iris-thousand/CASIA-Iris-Thousand/625/L/S5625L08.jpg
78,625-L,/kaggle/input/casia-iris-thousand/CASIA-Iris-Thousand/625/L/S5625L03.jpg
79,625-L,/kaggle/input/casia-iris-thousand/CASIA-Iris-Thousand/625/L/S5625L09.jpg
80,843-R,/kaggle/input/casia-iris-thousand/CASIA-Iris-Thousand/843/R/S5843R02.jpg
81,843-R,/kaggle/input/casia-iris-thousand/CASIA-Iris-Thousand/843/R/S5843R07.jpg
82,843-R,/kaggle/input/casia-iris-thousand/CASIA-Iris-Thousand/843/R/S5843R08.jpg
83,843-R,/kaggle/input/casia-iris-thousand/CASIA-Iris-Thousand/843/R/S5843R00.jpg
84,843-R,/kaggle/input/casia-iris-thousand/CASIA-Iris-Thousand/843/R/S5843R03.jpg
85,843-R,/kaggle/input/casia-iris-thousand/CASIA-Iris-Thousand/843/R/S5843R01.jpg
86,843-R,/kaggle/input/casia-iris-thousand/CASIA-Iris-Thousand/843/R/S5843R09.jpg
87,843-R,/kaggle/input/casia-iris-thousand/CASIA-Iris-Thousand/843/R/S5843R05.jpg
88,843-R,/kaggle/input/casia-iris-thousand/CASIA-Iris-Thousand/843/R/S5843R04.jpg
89,843-R,/kaggle/input/casia-iris-thousand/CASIA-Iris-Thousand/843/R/S5843R06.jpg
90,843-L,/kaggle/input/casia-iris-thousand/CASIA-Iris-Thousand/843/L/S5843L01.jpg
91,843-L,/kaggle/input/casia-iris-thousand/CASIA-Iris-Thousand/843/L/S5843L08.jpg
92,843-L,/kaggle/input/casia-iris-thousand/CASIA-Iris-Thousand/843/L/S5843L02.jpg
93,843-L,/kaggle/input/casia-iris-thousand/CASIA-Iris-Thousand/843/L/S5843L07.jpg
94,843-L,/kaggle/input/casia-iris-thousand/CASIA-Iris-Thousand/843/L/S5843L04.jpg
95,843-L,/kaggle/input/casia-iris-thousand/CASIA-Iris-Thousand/843/L/S5843L09.jpg
96,843-L,/kaggle/input/casia-iris-thousand/CASIA-Iris-Thousand/843/L/S5843L03.jpg
97,843-L,/kaggle/input/casia-iris-thousand/CASIA-Iris-Thousand/843/L/S5843L00.jpg
98,843-L,/kaggle/input/casia-iris-thousand/CASIA-Iris-Thousand/843/L/S5843L05.jpg
99,843-L,/kaggle/input/casia-iris-thousand/CASIA-Iris-Thousand/843/L/S5843L06.jpg
100,135-R,/kaggle/input/casia-iris-thousand/CASIA-Iris-Thousand/135/R/S5135R07.jpg
101,135-R,/kaggle/input/casia-iris-thousand/CASIA-Iris-Thousand/135/R/S5135R04.jpg
102,135-R,/kaggle/input/casia-iris-thousand/CASIA-Iris-Thousand/135/R/S5135R05.jpg
103,135-R,/kaggle/input/casia-iris-thousand/CASIA-Iris-Thousand/135/R/S5135R03.jpg
104,135-R,/kaggle/input/casia-iris-thousand/CASIA-Iris-Thousand/135/R/S5135R00.jpg
105,135-R,/kaggle/input/casia-iris-thousand/CASIA-Iris-Thousand/135/R/S5135R08.jpg
106,135-R,/kaggle/input/casia-iris-thousand/CASIA-Iris-Thousand/135/R/S5135R09.jpg
107,135-R,/kaggle/input/casia-iris-thousand/CASIA-Iris-Thousand/135/R/S5135R02.jpg
108,135-R,/kaggle/input/casia-iris-thousand/CASIA-Iris-Thousand/135/R/S5135R06.jpg
